       Timestamp     Open     High      Low    Close   Volume
03-21-25 08:00PM  $84,062  $84,300  $83,957  $84,136   144.09
03-20-25 08:00PM  $84,183  $84,810  $83,100  $84,062  6257.64
03-19-25 08:00PM  $86,878  $87,493  $83,597  $84,183  9880.32
03-18-25 08:00PM  $82,700  $87,045  $82,536  $86,878 13053.66
03-17-25 08:00PM  $84,011  $84,030  $81,125  $82,699  7316.63
03-16-25 08:00PM  $82,562  $84,758  $82,417  $84,011  7785.98
03-15-25 08:00PM  $84,351  $85,092  $81,969  $82,563  4059.90
03-14-25 08:00PM  $83,990  $84,690  $83,612  $84,351  2331.92
03-13-25 08:00PM  $81,072  $85,319  $80,771  $83,980 10857.46
03-12-25 08:00PM  $83,659  $84,311  $79,890  $81,073 10504.15
03-11-25 08:00PM  $82,912  $84,443  $80,572  $83,659 12612.03
03-10-25 08:00PM  $78,548  $83,600  $76,555  $82,915 17096.38
03-09-25 08:00PM  $80,708  $84,034  $77,389  $78,545 21375.10
03-08-25 07:00PM  $86,207  $86,480  $80,000  $80,699  7565.45
03-07-25 07:00PM  $86,753  $86,863  $85,200  $86,207  3023.25
03-06-25 07:00PM  $89,915  $91,280  $84,608  $86,757 27137.20
03-05-25 07:00PM  $90,608  $92,817  $87,790  $89,922 13302.88
03-04-25 07:00PM  $87,248  $91,000  $86,329  $90,604 14900.93
03-03-25 07:00PM  $86,161  $88,977  $81,444  $87,250 23130.37
03-02-25 07:00PM  $94,265  $94,416  $85,007  $86,161 22691.67
03-01-25 07:00PM  $86,019  $95,129  $85,003  $94,265 16751.23
02-28-25 07:00PM  $84,298  $86,535  $83,773  $86,019  6852.54
02-27-25 07:00PM  $84,628  $85,116  $78,168  $84,298 30755.74
02-26-25 07:00PM  $84,112  $86,994  $82,554  $84,625 16836.56
02-25-25 07:00PM  $88,583  $89,306  $82,111  $84,112 21568.55
02-24-25 07:00PM  $91,510  $92,550  $85,836  $88,584 31587.92
02-23-25 07:00PM  $96,266  $96,515  $91,300  $91,511 12644.04
02-22-25 07:00PM  $96,578  $96,680  $95,244  $96,266  3787.85
02-21-25 07:00PM  $96,157  $96,983  $95,768  $96,582  7324.02
02-20-25 07:00PM  $98,347  $99,518  $94,722  $96,157 19298.24
02-19-25 07:00PM  $96,632  $98,769  $96,419  $98,347 10582.85
02-18-25 07:00PM  $95,613  $96,880  $95,000  $96,632  6945.45
02-17-25 07:00PM  $95,782  $96,730  $93,333  $95,607  8867.40
02-16-25 07:00PM  $96,120  $97,051  $95,200  $95,782  3533.01
02-15-25 07:00PM  $97,597  $97,738  $96,058  $96,120  2174.29
02-14-25 07:00PM  $97,508  $97,998  $97,225  $97,597  1626.52
02-13-25 07:00PM  $96,625  $98,890  $96,269  $97,509  7744.68
02-12-25 07:00PM  $97,864  $98,100  $95,220  $96,625  6803.61
02-11-25 07:00PM  $95,771  $98,120  $94,067  $97,863  9078.50
02-10-25 07:00PM  $97,452  $98,500  $94,831  $95,774  7737.05
02-09-25 07:00PM  $96,481  $98,367  $95,257  $97,444  6375.73
02-08-25 07:00PM  $96,476  $97,342  $94,731  $96,476  3417.87
02-07-25 07:00PM  $96,537  $96,919  $95,682  $96,476  2972.46
02-06-25 07:00PM  $96,575 $100,236  $95,615  $96,537 12171.83
02-05-25 07:00PM  $96,636  $99,182  $95,675  $96,565  9168.95
02-04-25 07:00PM  $97,795  $99,230  $96,161  $96,638  9308.59
02-03-25 07:00PM $101,460 $101,812  $96,146  $97,795 14168.70
02-02-25 07:00PM  $97,677 $102,600  $91,178 $101,460 31328.72
02-01-25 07:00PM $100,624 $101,460  $96,179  $97,677 10366.65
01-31-25 07:00PM $102,414 $102,782 $100,250 $100,624  3390.26
01-30-25 07:00PM $104,743 $106,090 $101,506 $102,411 13313.68
01-29-25 07:00PM $103,747 $106,485 $103,290 $104,743 13061.35
01-28-25 07:00PM $101,290 $104,830 $101,276 $103,747 11401.30
01-27-25 07:00PM $102,064 $103,771 $100,214 $101,290  9485.47
01-26-25 07:00PM $102,565 $103,228  $97,715 $102,062 23646.34
01-25-25 07:00PM $104,730 $105,479 $102,452 $102,563  4575.37
01-24-25 07:00PM $104,866 $105,294 $104,104 $104,734  3404.85
01-23-25 07:00PM $103,926 $107,200 $102,752 $104,850 12921.99
01-22-25 07:00PM $103,660 $106,871 $101,200 $103,926 25064.86
01-21-25 07:00PM $106,159 $106,431 $103,100 $103,667 10730.02
01-20-25 07:00PM $102,145 $107,291 $100,051 $106,159 19411.23
01-19-25 07:00PM $101,218 $109,358  $99,416 $102,145 32342.18
01-18-25 07:00PM $104,435 $106,314  $99,518 $101,211 13312.64
01-17-25 07:00PM $104,107 $104,933 $102,233 $104,435  7835.30
01-16-25 07:00PM  $99,981 $105,970  $99,938 $104,107 20518.31
01-15-25 07:00PM $100,504 $100,880  $97,278  $99,982 12312.37
01-14-25 07:00PM  $96,535 $100,716  $96,400 $100,510 13600.98
01-13-25 07:00PM  $94,507  $97,353  $94,311  $96,535 11210.73
01-12-25 07:00PM  $94,507  $95,900  $89,029  $94,506 13094.86
01-11-25 07:00PM  $94,570  $95,384  $93,670  $94,510  2025.82
01-10-25 07:00PM  $94,701  $94,984  $93,804  $94,565  2638.70
01-09-25 07:00PM  $92,547  $95,863  $92,209  $94,701 12634.03
01-08-25 07:00PM  $95,033  $95,363  $91,187  $92,547  9712.38
01-07-25 07:00PM  $96,942  $97,254  $92,500  $95,037 14182.30
01-06-25 07:00PM $102,279 $102,736  $96,105  $96,942 16587.29
01-05-25 07:00PM  $98,348 $102,500  $97,900 $102,279 15173.45
01-04-25 07:00PM  $98,210  $98,814  $97,250  $98,345  2377.92
01-03-25 07:00PM  $98,140  $98,761  $97,517  $98,210  2742.09
01-02-25 07:00PM  $96,905  $98,970  $96,017  $98,137  9021.89
01-01-25 07:00PM  $94,384  $97,777  $94,177  $96,903 10912.47
12-31-24 07:00PM  $93,348  $94,961  $92,744  $94,384  6871.74
12-30-24 07:00PM  $92,621  $96,149  $91,887  $93,354 10348.63
12-29-24 07:00PM  $93,563  $94,910  $91,271  $92,621 15271.24
12-28-24 07:00PM  $95,126  $95,170  $92,841  $93,563  3417.53
12-27-24 07:00PM  $94,172  $95,534  $94,003  $95,131  2722.66
12-26-24 07:00PM  $95,669  $97,340  $93,234  $94,172 13169.13
12-25-24 07:00PM  $99,359  $99,887  $95,084  $95,669 11403.37
12-24-24 07:00PM  $98,594  $99,485  $97,557  $99,346  5254.24
12-23-24 07:00PM  $94,768  $99,444  $93,426  $98,594 13355.36
12-22-24 07:00PM  $95,091  $96,430  $92,361  $94,765 13476.99
12-21-24 07:00PM  $97,230  $97,388  $94,183  $95,088  4933.50
12-20-24 07:00PM  $97,763  $99,597  $96,368  $97,230  6451.43
12-19-24 07:00PM  $97,372  $98,132  $92,116  $97,765 21766.62
12-18-24 07:00PM $100,149 $102,796  $95,540  $97,372 23522.13
12-17-24 07:00PM $106,146 $106,528  $99,940 $100,151 22294.43
12-16-24 07:00PM $106,100 $108,389 $105,338 $106,137 11994.59
12-15-24 07:00PM $104,445 $107,858 $103,289 $106,100 22575.88
12-14-24 07:00PM $101,400 $105,100 $101,221 $104,448  7796.33
12-13-24 07:00PM $101,429 $102,650 $100,600 $101,400  4181.40
12-12-24 07:00PM $100,025 $101,959  $99,221 $101,429 13327.60
12-11-24 07:00PM $101,212 $102,595  $99,298 $100,030 14796.92
12-10-24 07:00PM  $96,661 $101,985  $95,723 $101,202 21190.24
12-09-24 07:00PM  $97,331  $98,338  $94,273  $96,661 20620.54
12-08-24 07:00PM $101,175 $101,291  $94,221  $97,325 20103.05
12-07-24 07:00PM  $99,919 $101,435  $98,730 $101,175  4230.35
12-06-24 07:00PM  $99,885 $100,583  $99,013  $99,929  4774.35
