       Timestamp    Open    High     Low   Close  Volume
03-08-25 11:00PM $86,091 $86,091 $85,907 $86,012   38.17
03-08-25 10:00PM $85,978 $86,204 $85,924 $86,088   60.92
03-08-25 09:00PM $86,169 $86,274 $85,972 $85,978  102.45
03-08-25 08:00PM $86,394 $86,480 $86,043 $86,169   71.89
03-08-25 07:00PM $86,207 $86,449 $86,089 $86,394   87.79
03-08-25 06:00PM $86,319 $86,375 $86,034 $86,207   69.02
03-08-25 05:00PM $86,206 $86,362 $85,838 $86,321   98.09
03-08-25 04:00PM $86,244 $86,491 $86,149 $86,213   83.02
03-08-25 03:00PM $86,200 $86,348 $86,159 $86,244   49.21
03-08-25 02:00PM $86,016 $86,500 $85,761 $86,199  142.87
03-08-25 01:00PM $85,911 $86,068 $85,844 $86,022   78.25
03-08-25 12:00PM $86,115 $86,126 $85,634 $85,920  162.00
03-08-25 11:00AM $86,371 $86,431 $85,767 $86,115  188.00
03-08-25 10:00AM $86,343 $86,595 $86,153 $86,371  103.01
03-08-25 09:00AM $86,300 $86,600 $86,190 $86,343  139.93
03-08-25 08:00AM $86,180 $86,500 $86,094 $86,299  101.75
03-08-25 07:00AM $85,922 $86,381 $85,773 $86,180  108.32
03-08-25 06:00AM $86,101 $86,101 $85,730 $85,915   75.32
03-08-25 05:00AM $85,917 $86,249 $85,915 $86,101   60.05
03-08-25 04:00AM $86,046 $86,429 $85,810 $85,905   70.03
03-08-25 03:00AM $86,163 $86,294 $86,012 $86,037   62.67
03-08-25 02:00AM $86,455 $86,523 $86,073 $86,173   81.94
03-08-25 01:00AM $86,250 $86,633 $86,230 $86,455   89.08
03-08-25 12:00AM $86,417 $86,446 $85,991 $86,250   73.78
03-07-25 11:00PM $85,891 $86,482 $85,626 $86,417  156.72
03-07-25 10:00PM $86,144 $86,154 $85,425 $85,891  172.37
03-07-25 09:00PM $86,074 $86,304 $85,900 $86,148  157.85
03-07-25 08:00PM $86,683 $86,735 $85,200 $86,074  530.94
03-07-25 07:00PM $86,753 $86,863 $86,483 $86,683  169.01
03-07-25 06:00PM $86,709 $86,802 $85,939 $86,757  395.61
03-07-25 05:00PM $86,276 $86,827 $85,580 $86,709  551.24
03-07-25 04:00PM $86,942 $87,327 $85,564 $86,294 1957.52
03-07-25 03:00PM $87,772 $88,467 $86,510 $86,971 1802.25
03-07-25 02:00PM $88,563 $88,882 $87,286 $87,774  641.16
03-07-25 01:00PM $87,653 $89,021 $87,445 $88,563 1052.89
03-07-25 12:00PM $87,166 $88,621 $86,479 $87,638 1608.64
03-07-25 11:00AM $88,420 $88,942 $86,550 $87,163 2765.76
03-07-25 10:00AM $90,444 $90,800 $87,997 $88,434 2159.03
03-07-25 09:00AM $89,150 $91,116 $88,651 $90,446 2152.71
03-07-25 08:00AM $89,038 $90,351 $88,964 $89,150 1384.83
03-07-25 07:00AM $88,965 $89,340 $88,322 $89,038  732.83
03-07-25 06:00AM $89,268 $89,453 $88,819 $88,965  224.92
